IP,TTL,FREQ
249.92.139.217,252,1
162.135.8.68,119,1
241.8.111.171,58,4
238.2.107.126,111,1
238.2.107.127,111,1
252.44.140.12,119,1
245.252.136.6,119,2
236.68.66.3,246,1
138.147.122.81,118,1
162.143.82.209,245,1
140.128.252.6,117,1
52.146.121.15,23,1
238.2.107.123,111,1
240.191.106.129,60,1
115.48.112.160,122,6
238.76.27.206,119,2
107.8.162.81,119,4
238.2.107.121,111,2
107.233.0.3,119,1
107.233.0.3,120,10
241.221.185.22,120,3
1.78.163.230,123,10
140.133.115.187,120,1
238.2.107.117,111,2
245.253.9.55,118,1
227.64.165.101,60,12
115.49.14.156,122,7
162.134.87.249,118,1
140.135.237.157,119,1
238.2.107.109,111,2
115.51.172.53,122,2
241.8.180.126,121,6
115.35.117.209,122,1
107.213.140.50,119,1
140.143.219.184,118,2
227.143.177.239,238,6
238.2.107.98,111,3
115.43.177.79,122,1
244.251.121.131,50,1
162.134.93.27,118,1
238.2.107.100,111,3
241.245.103.22,123,11
238.2.107.95,111,3
140.163.242.171,120,1
238.2.107.94,111,3
115.42.29.190,123,1
140.137.126.34,120,1
227.247.88.254,61,1
162.141.157.126,118,1
227.33.185.99,121,1
245.51.154.2,54,2
3.176.162.182,247,1
4.50.151.118,118,15
137.142.143.244,119,2
228.92.80.87,114,5
3.170.238.226,119,1
236.207.176.90,119,1
245.253.161.209,118,1
107.212.180.155,55,49
225.23.105.105,114,4
71.223.136.245,117,21
244.134.239.195,116,5
238.90.103.30,249,1
238.2.107.84,111,3
238.2.107.85,111,3
115.51.172.67,122,3
236.32.45.33,119,1
238.2.99.92,59,11
162.135.4.38,118,1
238.2.107.81,111,3
227.118.171.104,41,20
0.90.44.193,56,3
248.225.112.122,120,18
241.8.245.85,121,203
3.176.162.186,121,5
238.2.107.78,111,3
238.2.107.79,111,3
115.42.29.212,123,1
107.236.80.66,119,1
107.236.80.66,120,42
245.252.193.215,118,7
237.133.88.149,116,1
69.64.192.33,116,68
241.8.61.43,121,19
238.2.107.76,111,3
238.2.107.66,111,3
245.252.15.45,118,16
238.2.107.68,111,3
236.207.193.79,118,5
143.182.252.101,57,12
140.139.181.13,118,2
140.139.181.13,119,2
162.140.233.50,119,4
240.44.97.98,251,1
252.44.5.13,119,2
245.252.117.45,119,11
238.88.69.7,119,7
238.2.107.59,111,3
140.157.245.198,122,7
1.216.105.2,121,4
227.186.186.92,60,77
107.213.240.27,118,75
3.176.178.72,121,14
0.61.222.34,59,27
71.52.127.131,119,29
115.32.131.9,121,18
162.136.55.132,120,2
100.190.93.212,55,7
0.15.204.105,55,1
238.2.107.58,111,3
225.23.72.246,113,6
107.218.80.177,119,1
107.218.80.177,120,14
149.85.177.162,120,1
140.139.157.87,119,1
140.148.77.6,116,1
238.190.218.11,118,2
227.33.185.164,121,2
165.206.226.237,54,1
107.233.2.106,118,1
107.233.2.106,119,16
227.78.210.38,119,7
241.173.209.225,121,6
245.252.149.130,119,6
227.233.102.9,121,6
2.157.42.141,116,12
244.172.22.32,118,11
140.163.241.135,120,4
245.69.128.46,114,1
238.148.245.78,122,28
239.178.98.213,118,117
100.189.245.197,119,1
140.112.120.59,118,1
3.176.162.175,121,1
107.254.10.194,119,5
34.147.236.126,23,1
5.106.34.90,118,2
238.2.107.52,111,3
162.158.63.43,54,5
238.2.107.50,111,3
107.211.99.158,118,125
236.249.78.225,116,4
227.33.185.170,121,2
238.2.107.46,111,3
245.49.249.250,118,3
244.140.230.37,57,1
107.13.62.234,118,8
245.102.3.138,121,4
107.233.61.27,118,1
107.233.61.27,119,6
238.2.107.47,111,3
100.253.69.126,119,5
238.2.107.41,111,3
252.44.246.218,56,1
3.176.162.168,121,1
238.2.107.39,111,3
162.141.53.41,118,1
237.133.90.69,115,4
0.15.254.251,248,2
238.213.5.54,53,2
238.2.107.33,111,3
238.2.107.32,111,3
140.137.71.68,119,3
107.213.161.65,119,40
252.202.178.25,246,1
245.252.33.63,249,3
115.48.81.220,122,86
244.52.20.186,242,1
244.52.20.186,51,9
140.157.171.103,123,5
3.176.162.165,121,1
227.186.191.116,123,9
115.40.89.106,122,4
71.4.162.135,56,1
140.137.194.3,245,1
227.160.17.211,54,10
238.2.107.16,111,3
143.124.184.235,53,12
107.214.72.175,55,7
236.204.65.185,119,1
140.128.109.167,119,8
115.54.35.23,122,61
165.6.96.66,113,1
69.240.172.205,241,5
69.240.172.205,33,1
140.157.118.127,122,6
107.211.48.118,120,51
227.186.168.164,60,5
227.186.168.164,251,1
115.49.98.24,122,5
227.64.164.195,60,2
245.93.8.217,114,5
0.202.41.91,117,2
238.2.107.20,111,3
3.176.162.163,143,1
248.95.223.18,117,15
1.19.248.233,116,5
3.116.157.130,121,9
238.2.107.24,111,3
162.141.132.23,118,6
115.50.5.159,122,2
107.236.47.85,117,1
107.236.47.85,118,1
225.70.65.253,117,4
138.42.34.24,242,3
244.154.237.80,57,5
245.253.98.248,119,5
227.212.5.144,57,2
250.60.208.122,23,1
238.2.107.8,111,3
238.2.107.1,111,3
140.115.71.1,54,3
238.2.88.66,251,1
107.215.201.252,55,2
107.255.235.94,119,4
238.243.114.176,23,6
239.136.166.1,245,1
115.52.8.155,122,6
100.190.14.164,119,6
107.210.210.93,118,2
245.253.10.192,122,32
162.139.79.249,55,1
227.203.248.19,118,5
162.137.176.3,118,6
245.252.129.198,118,2
140.128.12.87,119,7
140.138.23.189,121,3
130.232.189.92,117,1
227.186.154.60,59,17
107.237.234.227,119,9
162.138.70.5,117,1
115.54.89.18,121,8
3.176.162.151,121,4
162.136.119.249,55,1
162.134.121.1,54,1
115.51.99.71,123,6
245.55.127.164,115,2
162.141.55.7,117,6
162.133.89.90,120,3
241.201.110.20,60,41
245.253.120.77,119,1
244.66.87.251,55,19
244.66.87.251,246,1
224.83.120.206,114,6
252.44.157.76,22,1
115.13.113.164,120,1
252.223.166.130,56,14
241.180.144.2,54,2
143.173.4.130,120,2
245.252.137.200,119,18
248.215.189.14,114,4
245.253.71.251,122,2
115.51.172.144,122,3
239.155.20.91,122,4
140.137.70.1,246,2
140.138.241.146,121,6
143.165.50.181,117,5
227.33.185.135,121,3
239.106.210.170,123,73
238.181.6.146,120,32
162.139.243.249,56,2
0.180.53.109,121,1
245.244.34.144,117,6
240.169.112.134,55,1
236.249.74.224,118,33
107.233.111.82,118,1
107.233.111.82,119,3
236.108.63.189,113,5
149.175.230.162,118,5
149.175.230.162,52,1
140.133.36.23,54,5
153.125.118.13,58,1
237.8.96.1,242,2
157.197.148.166,95,5
107.210.84.59,117,1
238.84.24.2,251,5
107.235.125.50,119,2
0.255.58.160,121,4
227.118.174.27,25,3
107.237.225.161,119,4
238.207.158.178,117,43
241.8.230.208,121,4
227.247.82.11,61,6
245.253.36.246,119,3
100.157.193.61,119,2
227.33.185.218,121,3
244.181.8.149,57,2
245.252.186.249,118,1
115.33.131.50,122,9
238.93.39.96,117,1
227.212.172.81,121,74
115.46.140.106,122,1
238.66.214.120,251,72
115.51.13.89,122,1
107.233.21.225,119,1
107.233.21.225,120,15
245.104.248.8,241,2
245.239.241.139,119,6
245.252.49.49,122,7
107.233.38.132,118,20
225.213.111.207,112,4
140.157.53.249,121,2
115.43.199.207,122,1
140.140.23.76,119,6
0.2.224.6,253,6
245.10.76.254,18,1
5.102.208.59,117,4
244.133.169.16,246,1
245.244.34.130,117,1
0.3.140.232,61,3
0.3.140.232,125,11
0.3.140.232,29,1
238.66.214.66,251,9
115.42.31.38,123,1
227.167.243.179,122,5
227.167.243.179,119,857
115.50.213.213,122,1494
227.212.193.20,121,18
236.249.94.96,117,14
162.133.98.134,245,1
252.44.30.49,54,4
162.134.137.12,118,2
238.2.107.63,111,3
244.181.8.119,120,8
115.51.172.174,58,3
236.204.102.1,117,2
107.215.207.190,119,3
245.252.6.212,118,15
245.239.234.78,119,12
249.25.50.250,118,1
115.46.140.116,122,4
227.235.125.186,121,1
115.34.134.24,122,2
69.239.66.60,116,25
252.44.184.154,248,3
0.39.152.39,120,4
245.10.79.1,112,12
238.139.128.63,117,1
107.212.43.123,118,1
107.214.26.175,119,9
162.136.65.154,118,1
140.138.31.32,121,4
245.239.198.255,119,16
238.12.229.164,23,1
137.142.100.15,55,1
143.173.98.200,121,24
115.13.65.2,120,1
107.254.3.103,118,1
238.93.38.171,117,16
162.157.110.16,116,1
245.55.244.6,55,2
238.138.93.224,244,1
238.243.114.113,119,1
227.247.86.227,61,1
162.138.134.175,53,9
238.250.178.187,121,1
241.245.35.87,59,23
241.245.35.87,122,1
140.129.79.147,118,4
107.211.137.195,118,7
100.189.233.226,119,23
227.65.50.16,115,7
115.50.204.96,121,3
245.253.102.142,124,3
245.253.102.142,123,1
227.186.168.255,124,10
162.137.79.106,118,3
245.252.29.227,23,5
241.8.202.25,120,1
115.32.186.237,122,2
162.159.171.114,120,5
140.138.29.12,121,7
107.204.152.242,118,1
107.204.152.242,119,190
237.19.4.227,114,91
245.14.97.203,111,5
245.32.42.90,117,4
224.86.130.25,114,161
107.233.83.17,120,4
165.206.79.244,110,7
238.2.107.40,111,3
140.136.169.36,119,3
107.114.166.115,121,25
115.32.191.134,122,6
115.12.39.249,248,1
89.204.224.243,121,3
140.157.54.179,59,36
3.176.162.83,121,1
2.58.190.106,56,1
240.191.106.128,56,5
3.176.162.80,121,1
224.80.156.26,50,1
140.139.200.6,245,1
3.176.162.82,121,1
100.253.147.100,119,155
107.210.82.18,52,163
244.53.68.165,116,21
109.115.213.8,111,1
241.245.93.129,58,1
0.180.178.17,121,8
162.157.67.96,117,12
227.186.139.141,58,1
245.252.228.17,118,4
239.185.71.73,113,4
1.30.193.211,23,1
241.245.26.146,123,1
107.235.117.65,118,1
245.252.166.183,118,1
140.148.156.249,55,3
238.90.104.70,49,2
227.212.73.91,57,22
245.252.203.144,117,21
115.50.143.166,122,4
238.76.38.247,245,2
239.185.51.173,114,1
140.158.230.240,250,1
227.186.139.142,58,1
140.131.124.28,118,3
3.112.198.195,120,34
245.49.4.103,122,2
245.252.174.59,118,6
245.252.193.244,118,7
240.191.106.130,58,1
245.253.95.223,119,8
175.167.1.254,118,1
240.60.173.133,56,3
0.123.28.46,117,8
238.190.233.23,54,13
252.44.181.110,57,1
140.140.214.159,120,7
245.252.24.247,116,6
225.23.164.133,115,3
239.178.221.207,247,1
249.37.9.161,58,1
245.253.113.75,118,30
143.173.64.77,120,43
71.29.231.23,120,7
71.29.231.23,53,1
252.44.240.2,55,1
140.137.123.241,120,1
140.140.204.57,120,1
245.252.61.176,119,49
140.157.191.219,123,13
245.97.72.61,119,3
115.55.226.75,122,15
3.112.195.228,120,3
0.113.23.153,244,7
0.113.23.153,52,1
252.42.203.231,56,1
140.134.192.104,117,1
140.137.205.246,55,2
227.65.138.10,119,3
143.182.228.105,57,1
1.88.67.21,124,48
236.102.253.229,119,4
140.121.113.90,118,2
236.32.64.207,120,8
19.233.182.24,23,1
241.110.52.242,249,1
140.140.157.216,120,1
135.203.171.39,247,1
115.47.59.110,59,1
245.252.182.105,118,5
107.210.146.166,118,13
115.50.128.189,122,1
227.9.219.255,121,1
227.9.219.255,57,1
140.139.54.40,119,4
3.190.246.251,118,6
248.81.185.251,53,4
115.42.31.87,123,1
115.45.124.232,122,89
115.46.140.173,144,1
100.174.164.66,118,5
165.206.209.189,245,3
162.157.32.110,117,5
245.10.66.182,115,7
174.51.109.195,23,1
238.190.173.119,121,9
69.64.200.146,114,4
245.252.176.132,118,75
107.13.61.41,117,2
115.34.132.149,122,32
140.115.110.1,54,1
138.147.236.252,119,3
115.33.204.65,122,1
225.70.84.98,117,3
140.128.84.202,120,1
244.56.112.196,112,33
0.15.105.245,57,1
245.239.252.98,248,1
245.252.180.65,118,10
143.47.134.143,120,8
165.206.225.94,119,86
238.2.76.197,58,66
227.190.178.18,57,23
227.190.178.18,25,2
245.56.64.163,120,3
252.44.244.231,56,1
245.252.215.81,119,3
245.239.192.7,245,1
3.231.228.36,122,40
225.211.45.109,114,4
245.239.251.41,118,3
69.24.109.46,119,3
64.126.170.143,23,1
245.252.226.14,122,5
245.56.45.249,118,1
3.223.172.149,59,136
3.176.255.21,58,25
227.190.203.103,54,2
245.55.22.171,121,3
239.85.137.95,119,25
252.44.44.194,23,2
124.63.88.107,23,1
244.66.105.119,116,1
244.66.105.119,243,1
238.252.190.222,122,97
143.165.215.53,117,5
245.253.60.84,119,3
162.141.140.249,118,1
140.148.86.20,116,3
115.32.91.100,42,1
69.24.236.38,47,6
69.24.236.38,108,1
238.122.220.207,57,22
227.73.61.137,119,1
143.173.23.57,121,6
245.244.55.147,117,1
140.123.23.97,119,4
252.44.246.185,56,1
140.139.189.131,119,7
238.122.220.4,57,1
115.45.102.91,121,1
143.182.228.122,121,4
244.131.189.67,54,152
245.239.228.60,117,73
244.210.183.250,241,1
244.210.183.250,242,49
115.49.230.15,26,6
245.252.207.4,118,90
241.8.195.112,58,55
245.252.240.1,246,5
227.33.175.171,122,3
0.20.107.251,115,35
100.174.166.90,119,6
140.138.42.151,121,14
107.210.105.156,118,24
241.8.70.161,119,1
107.214.253.23,120,374
3.176.162.100,57,1
245.253.118.230,119,6
227.186.170.134,58,9
225.23.77.215,113,1
225.23.77.215,114,5
107.81.181.195,118,26
245.253.37.113,119,2
107.211.83.0,54,1185
69.73.139.249,50,1
228.85.91.56,115,6
240.191.106.131,56,3
245.253.9.39,118,3
115.43.222.45,122,1
140.140.103.46,121,1
162.157.31.4,52,11
236.163.215.133,53,2
115.51.173.111,122,3
238.76.215.247,118,17
140.121.13.251,117,1
227.47.25.231,115,23
107.214.113.231,119,12
143.173.119.167,121,8
107.213.5.237,118,4
245.96.134.178,116,86
162.139.151.152,119,1
69.24.112.188,118,5
227.175.205.74,117,7
227.212.204.153,121,97
78.7.203.33,23,1
162.140.84.67,118,1
107.213.251.89,117,42
107.87.183.206,117,4
143.173.36.192,58,1
224.80.96.181,50,2
3.177.211.149,121,6
140.122.85.197,119,3
227.197.92.191,118,12
243.160.99.214,122,2
115.42.72.208,145,3
244.174.128.156,110,10
3.196.222.159,120,6
140.137.131.178,120,6
107.214.204.97,120,23
241.110.71.1,118,1
241.110.71.1,119,13
245.73.113.127,52,27
107.215.31.1,119,1
140.138.38.14,121,1
140.143.216.198,118,3
227.235.29.36,121,4
140.135.101.217,120,9
238.243.109.202,247,1
140.143.161.231,54,3
224.83.87.94,114,19
3.231.249.5,122,171
69.65.39.218,114,1
100.253.73.13,119,4
227.104.113.26,56,2
107.215.161.210,118,6
234.25.93.201,50,1
238.122.216.2,121,2
243.160.92.255,248,1
140.157.209.188,123,4
140.157.222.192,123,46
2.58.29.36,119,72
3.161.49.5,250,4
4.116.125.241,118,1
100.174.173.127,119,21
0.180.101.55,120,19
162.133.136.24,56,7
107.210.82.52,117,1
245.252.176.38,118,10
115.51.173.77,122,3
131.68.12.50,115,1
75.0.26.129,23,1
241.182.82.5,122,3
140.134.113.71,117,4
143.47.186.2,244,1
107.215.56.150,141,1
227.22.66.2,58,1
227.192.210.26,119,2
107.210.225.204,119,1
162.157.15.226,116,6
